Група,День,Час,Предмет,Вид,Викладач,Аудиторія,Посилання,Примітка
ІПЗ-11,Вівторок,12:10-13:30,Вступ до університетських студій,Л,Чернишевич Олена Володимирівна,,https://us04web.zoom.us/j/71458879336?pwd=4G9SxL8xQ9oFF9N3FRFSHHn2wzhk4p.1,[01.09]
ІПЗ-12,Вівторок,12:10-13:30,Вступ до університетських студій,Л,Чернишевич Олена Володимирівна,,https://us04web.zoom.us/j/71458879336?pwd=4G9SxL8xQ9oFF9N3FRFSHHn2wzhk4p.1,[01.09]
ІПЗ-13,Вівторок,12:10-13:30,Вступ до університетських студій,Л,Чернишевич Олена Володимирівна,,https://us04web.zoom.us/j/71458879336?pwd=4G9SxL8xQ9oFF9N3FRFSHHn2wzhk4p.1,[01.09]
ІПЗ-14,Вівторок,12:10-13:30,Вступ до університетських студій,Л,Чернишевич Олена Володимирівна,,https://us04web.zoom.us/j/71458879336?pwd=4G9SxL8xQ9oFF9N3FRFSHHn2wzhk4p.1,[01.09]
ІПЗ-11,Вівторок,13:40-15:00,Комп'ютерні методи аналізу дискретних об'єктів,Л,Вовна О. В.,,https://meet.google.com/wyr-zbcu-xuw,[01.09]
ІПЗ-12,Вівторок,13:40-15:00,Комп'ютерні методи аналізу дискретних об'єктів,Л,Вовна О. В.,,https://meet.google.com/wyr-zbcu-xuw,[01.09]
ІПЗ-13,Вівторок,13:40-15:00,Комп'ютерні методи аналізу дискретних об'єктів,Л,Вовна О. В.,,https://meet.google.com/wyr-zbcu-xuw,[01.09]
ІПЗ-14,Вівторок,13:40-15:00,Комп'ютерні методи аналізу дискретних об'єктів,Л,Вовна О. В.,,https://meet.google.com/wyr-zbcu-xuw,[01.09]
ІПЗ-11,Вівторок,15:10-16:30,Основи програмної інженерії,Л,Вєчерковська А.С.,,https://teams.microsoft.com/meet/381153169559289?p=lvGDGLtWoUWu5hZnff,[01.09]
ІПЗ-12,Вівторок,15:10-16:30,Основи програмної інженерії,Л,Вєчерковська А.С.,,https://teams.microsoft.com/meet/381153169559289?p=lvGDGLtWoUWu5hZnff,[01.09]
ІПЗ-13,Вівторок,15:10-16:30,Основи програмної інженерії,Л,Вєчерковська А.С.,,https://teams.microsoft.com/meet/381153169559289?p=lvGDGLtWoUWu5hZnff,[01.09]
ІПЗ-14,Вівторок,15:10-16:30,Основи програмної інженерії,Л,Вєчерковська А.С.,,https://teams.microsoft.com/meet/381153169559289?p=lvGDGLtWoUWu5hZnff,[01.09]
ІПЗ-11,Середа,9:00-10:20,Архітектура комп'ютера,Л,Вовна О. В.,,https://meet.google.com/naj-hekp-gue,[02.09]
ІПЗ-12,Середа,9:00-10:20,Архітектура комп'ютера,Л,Вовна О. В.,,https://meet.google.com/naj-hekp-gue,[02.09]
ІПЗ-13,Середа,9:00-10:20,Архітектура комп'ютера,Л,Вовна О. В.,,https://meet.google.com/naj-hekp-gue,[02.09]
ІПЗ-14,Середа,9:00-10:20,Архітектура комп'ютера,Л,Вовна О. В.,,https://meet.google.com/naj-hekp-gue,[02.09]
ІПЗ-11,Середа,10:30-11:50,Основи програмування,Л,Ковалюк Т. В.,,https://us02web.zoom.us/j/82086830506,[02.09]
ІПЗ-12,Середа,10:30-11:50,Основи програмування,Л,Ковалюк Т. В.,,https://us02web.zoom.us/j/82086830506,[02.09]
ІПЗ-13,Середа,10:30-11:50,Основи програмування,Л,Ковалюк Т. В.,,https://us02web.zoom.us/j/82086830506,[02.09]
ІПЗ-14,Середа,10:30-11:50,Основи програмування,Л,Ковалюк Т. В.,,https://us02web.zoom.us/j/82086830506,[02.09]
ІПЗ-11,Середа,12:10-13:30,Математичні основи програмної інженерії,Л,Ковтун О. І.,,https://knu-ua.zoom.us/j/81730786449?pwd=XKHcvrUH8WQ5BYEpNKRGb3T6FTff41.1,[02.09]
ІПЗ-12,Середа,12:10-13:30,Математичні основи програмної інженерії,Л,Ковтун О. І.,,https://knu-ua.zoom.us/j/81730786449?pwd=XKHcvrUH8WQ5BYEpNKRGb3T6FTff41.1,[02.09]
ІПЗ-13,Середа,12:10-13:30,Математичні основи програмної інженерії,Л,Ковтун О. І.,,https://knu-ua.zoom.us/j/81730786449?pwd=XKHcvrUH8WQ5BYEpNKRGb3T6FTff41.1,[02.09]
ІПЗ-14,Середа,12:10-13:30,Математичні основи програмної інженерії,Л,Ковтун О. І.,,https://knu-ua.zoom.us/j/81730786449?pwd=XKHcvrUH8WQ5BYEpNKRGb3T6FTff41.1,[02.09]
ІПЗ-11,Четвер,10:30-11:50,Комп'ютерні методи аналізу дискретних об'єктів,Л,Вовна О. В.,,https://meet.google.com/wyr-zbcu-xuw,[03.09]
ІПЗ-12,Четвер,10:30-11:50,Комп'ютерні методи аналізу дискретних об'єктів,Л,Вовна О. В.,,https://meet.google.com/wyr-zbcu-xuw,[03.09]
